seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000011,2026-08-27T03:22:16,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,c01e1d11bbcb5b4a9e46573d4387d59c870b9b1c3b4a93fd5a3581922a1db3a8,4641f399a11c37e552da4f9b5066c972ed3d7abb68d07cb0eda32708f4c6e687,ADP,ADP261016P00240000,buy_to_open,B,market,1,1.1,1.9,1.5,1.5,,2026-08-27T03:22:15,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000012,2026-08-27T12:37:20,selfcheck,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,4641f399a11c37e552da4f9b5066c972ed3d7abb68d07cb0eda32708f4c6e687,229636ff3e79739ed4c4285800cf9d7e4f18721389c0013b2b0b2425d742d5af,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000013,2026-08-27T12:41:02,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,229636ff3e79739ed4c4285800cf9d7e4f18721389c0013b2b0b2425d742d5af,75c1d4a64697a6cd50f56a9979c57479b011cb7676993b55cf6b300a061047f6,NKE,NKE261016P00032500,buy_to_open,B,market,1,0.46,0.48,0.47,0.47,,2026-08-27T12:38:57,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000014,2026-08-27T12:41:02,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,75c1d4a64697a6cd50f56a9979c57479b011cb7676993b55cf6b300a061047f6,a3948e9ddd81e8d56a8774022345f0e8f50bc472f68048b5862faa520d8eb696,LOW,LOW261016P00180000,buy_to_open,B,market,1,0.35,1.2,0.775,0.775,,2026-08-27T12:40:00,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000015,2026-08-27T12:41:02,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,a3948e9ddd81e8d56a8774022345f0e8f50bc472f68048b5862faa520d8eb696,a73023f71bfaf4c848ad4825abf7861f4a54da0aba42968bb72fbc8bf0ef6cb9,ADP,ADP261016P00240000,buy_to_open,B,market,1,1.1,1.9,1.5,1.5,,2026-08-27T12:41:02,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000016,2026-08-27T12:42:30,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,a73023f71bfaf4c848ad4825abf7861f4a54da0aba42968bb72fbc8bf0ef6cb9,0379aa02eb0f33104bd289527659e4eac0f03652b2b0912df45a66fa0af1490f,NKE,NKE261016P00032500,buy_to_open,B,market,1,0.46,0.48,0.47,0.47,,2026-08-27T12:40:23,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000017,2026-08-27T12:42:30,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,0379aa02eb0f33104bd289527659e4eac0f03652b2b0912df45a66fa0af1490f,c51493509c73fa74796b6d90684bb720df01922e9ea52f3a8c3eaf96d310e08a,LOW,LOW261016P00180000,buy_to_open,B,market,1,0.35,1.2,0.775,0.775,,2026-08-27T12:41:26,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000018,2026-08-27T12:42:30,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,c51493509c73fa74796b6d90684bb720df01922e9ea52f3a8c3eaf96d310e08a,6511921bc2845fe211c266dfb1423ddf4d2cf25fdba794372ee9b65114847b03,ADP,ADP261016P00240000,buy_to_open,B,market,1,1.1,1.9,1.5,1.5,,2026-08-27T12:42:29,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000019,2026-08-27T13:19:49,selfcheck,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,6511921bc2845fe211c266dfb1423ddf4d2cf25fdba794372ee9b65114847b03,8a859e1989ca2e1e9830e6082490a7808157aaae4315cd546b293fc89c75887a,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
00000020,2026-08-27T13:22:57,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,8a859e1989ca2e1e9830e6082490a7808157aaae4315cd546b293fc89c75887a,2caaca798f6d924c9c6b5dd464f8e59d27b57f38eb91c570d632d2b1c49fb9d5,NKE,NKE261016P00032500,buy_to_open,B,market,1,0.46,0.48,0.47,0.47,,2026-08-27T13:20:51,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000021,2026-08-27T13:22:57,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,2caaca798f6d924c9c6b5dd464f8e59d27b57f38eb91c570d632d2b1c49fb9d5,7e873e261d456d771e5927b638fbe77fbbafa48b8f0c160f36c3ac2529c25f2d,LOW,LOW261016P00180000,buy_to_open,B,market,1,0.35,1.2,0.775,0.775,,2026-08-27T13:21:54,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000022,2026-08-27T13:22:57,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,7e873e261d456d771e5927b638fbe77fbbafa48b8f0c160f36c3ac2529c25f2d,b55cd619fbf8268488af7f6629c8ad0484db545c631eabb7fd6b35ded6e1bb61,ADP,ADP261016P00240000,buy_to_open,B,market,1,1.1,1.9,1.5,1.5,,2026-08-27T13:22:57,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
